iteration,reward_mean,length_mean,games,loss
171000,-1.0,2.0,8,3.530279718688689e-05
171500,-1.0,2.0,8,1.6117284758365713e-05
172000,-1.0,2.0,10,4.444221758603817e-06
172500,-0.62,2.38,8,1.5921077647362836e-05
173000,-1.0,2.0,10,4.610657470038859e-06
173500,-1.0,2.0,12,8.764816811890341e-06
174000,-0.89,2.11,9,1.576764407218434e-05
174500,-0.92,2.08,12,2.716573726502247e-05
175000,-1.0,2.0,10,5.388600129663246e-06
175500,-1.0,2.0,9,1.0175356692343485e-05
176000,-0.89,2.11,9,2.778759835564415e-06
176500,-1.0,2.0,10,3.2218449064203014e-07
177000,-1.0,2.0,8,7.480288104488864e-07
177500,-1.0,2.0,8,2.0809141005884157e-06
178000,-0.88,2.12,8,9.811195923248306e-06
178500,-1.0,2.0,8,1.4102195109444438e-06
179000,-0.88,2.12,8,3.780972747335909e-06
179500,-0.89,2.11,9,1.2367209819785785e-05
180000,-1.0,2.0,12,6.395060336217284e-05
180500,-1.0,2.0,9,2.8313355869613588e-05
181000,-1.0,2.0,9,2.2300930595520185e-06
181500,-1.0,2.0,9,1.6382929288738524e-06
182000,-1.0,2.0,9,9.63961338129593e-06
182500,-1.0,2.0,9,2.1906139409111347e-06
183000,-1.0,2.0,10,1.709067191768554e-06
183500,-1.0,2.0,8,3.0367602903424995e-06
184000,-1.0,2.0,9,1.3828658893544343e-06
184500,-1.0,2.0,9,1.9911524304916384e-06
185000,-1.0,2.0,9,1.199218559122528e-06
185500,-0.88,2.12,8,2.2041122065274976e-06
186000,-1.0,2.0,9,4.944678494211985e-06
186500,-1.0,2.0,9,6.258961775529315e-07
187000,-1.0,2.0,9,5.887014594918583e-06
187500,-1.0,2.0,8,2.7118896923639113e-06
188000,-1.0,2.0,9,7.495954832847929e-06
188500,-1.0,2.0,9,4.724252357846126e-05
189000,-0.89,2.11,9,0.000246522860834375
189500,-1.0,2.0,9,0.00036453595384955406
190000,-1.0,2.0,8,0.00043139615445397794
190500,-1.0,2.0,8,0.00026709825033321977
191000,-1.0,2.0,8,0.0005057525704614818
191500,-1.0,2.0,8,0.0010294528910890222
192000,-1.0,2.0,10,0.0024696332402527332
192500,-1.0,2.0,10,0.0008102736319415271
193000,-0.9,2.1,10,0.001022644923068583
193500,-0.88,2.12,8,0.0012664796086028218
194000,-1.0,2.0,9,0.0031261451076716185
194500,-0.88,2.12,8,0.0019368589855730534
195000,-1.0,2.0,9,0.0017149333143606782
195500,-1.0,2.0,8,0.0031640520319342613
196000,-0.88,2.12,8,0.0020372180733829737
196500,-1.0,2.0,9,0.0024471713695675135
197000,-1.0,2.0,8,0.002899250714108348
197500,-1.0,2.0,10,0.003253757953643799
198000,-0.75,2.25,8,0.00480129849165678
198500,-0.88,2.12,8,0.0023913132026791573
199000,-1.0,2.0,8,0.0030672247521579266
199500,-1.0,2.0,8,0.00406119879335165
200000,-0.91,2.09,11,0.004064939916133881
